batch,train_loss,train_acc,val_loss,val_acc,llc,stage,max_val
500,0.04160497752545624,1.0,0.21355609026576672,0.9727420667209113,27.697519302368164,4,63
1000,0.020180588305750986,1.0,0.09458426017984081,0.9959316517493898,28.81494140625,4,63
1500,0.01886994034978385,1.0,0.07254463693553671,0.9983726606997559,27.975658416748047,4,63
2000,0.017957886747057266,1.0,0.060087285752967456,0.9991863303498779,27.685020446777344,4,63
2500,0.017386004108832114,1.0,0.05384737331894938,0.9991863303498779,28.745447158813477,4,63
3000,0.016977177627108337,1.0,0.05011063314477199,0.999593165174939,28.34329605102539,4,63
3500,0.01685540520663399,1.0,0.04685098975135257,0.999593165174939,27.860074996948242,4,63
4000,0.016494939986361083,1.0,0.04248479212571937,0.999593165174939,28.072351455688477,4,63
4500,0.01618424689005469,1.0,0.04270319937718115,0.9991863303498779,28.39383888244629,4,63
5000,0.016141455001209126,1.0,0.04313678302414915,0.999593165174939,27.789291381835938,4,63
5500,0.01636636642095552,1.0,0.043354133496866495,0.999593165174939,27.62299346923828,4,63
6000,0.01610981832067647,1.0,0.04334280546598305,0.9991863303498779,27.875171661376953,4,63
6500,0.015898438832371225,1.0,0.04397684396748515,0.9987794955248169,27.81468391418457,4,63
7000,0.015964795116071337,1.0,0.04449199618956573,0.9991863303498779,27.9564208984375,4,63
7500,0.015287337169990454,1.0,0.04243484769951237,0.999593165174939,28.07743263244629,4,63
8000,0.016147753288451996,1.0,0.04542747159306441,0.9983726606997559,27.603002548217773,4,63
8500,0.016563302308255045,1.0,0.04456054738462157,0.999593165174939,29.25637435913086,4,63
9000,0.016175935599954075,1.0,0.04328832635769667,0.999593165174939,28.545631408691406,4,63
9500,0.01585362663052485,1.0,0.04251275280209378,0.9991863303498779,28.79994010925293,4,63
10000,0.01631866040818964,1.0,0.043101897019659156,0.9991863303498779,27.493507385253906,4,63
10500,0.01585659410881836,1.0,0.043994857621795225,0.9991863303498779,27.748592376708984,4,63
11000,0.01571637537669827,1.0,0.0417159187642136,1.0,27.910120010375977,4,63
11500,0.015683701653198382,1.0,0.043380056101142254,0.9983726606997559,28.10371971130371,4,63
12000,0.016129030173579605,1.0,0.046048790550441386,0.9983726606997559,28.15297508239746,4,63
12500,0.015857126927034535,1.0,0.04567699223134267,0.9987794955248169,28.014963150024414,4,63
13000,0.015958385333226667,1.0,0.04325168459427841,0.9991863303498779,29.0859432220459,4,63
13500,0.0159278331752025,1.0,0.04561413365660237,0.9991863303498779,27.64628028869629,4,63
